block,arm,mean_ep_len,mastery,prev_rung_idx,prev_mu,fuzzy_score,fuzzy_progress,advanced,next_rung_idx,next_mu,run_dir,ckpt,mu_trained
0,crisp,387.489990234375,0.3875,0,0.8,,,True,1,0.65,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_092737-setB_crisp_seed3_b0_mu0.80-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_092737-setB_crisp_seed3_b0_mu0.80-locomotion-hunter/model_4344.pt,0.8
1,crisp,443.3299865722656,0.4433,1,0.65,,,True,2,0.5,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_093912-setB_crisp_seed3_b1_mu0.65-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_093912-setB_crisp_seed3_b1_mu0.65-locomotion-hunter/model_4438.pt,0.65
2,crisp,400.9700012207031,0.401,2,0.5,,,True,3,0.35,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_095246-setB_crisp_seed3_b2_mu0.50-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_095246-setB_crisp_seed3_b2_mu0.50-locomotion-hunter/model_4532.pt,0.5
3,crisp,297.8399963378906,0.2978,3,0.35,,,False,3,0.35,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_100634-setB_crisp_seed3_b3_mu0.35-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_100634-setB_crisp_seed3_b3_mu0.35-locomotion-hunter/model_4626.pt,0.35
4,crisp,255.89999389648438,0.2559,3,0.35,,,False,3,0.35,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_102112-setB_crisp_seed3_b4_mu0.35-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_102112-setB_crisp_seed3_b4_mu0.35-locomotion-hunter/model_4720.pt,0.35
5,crisp,351.4100036621094,0.3514,3,0.35,,,False,3,0.35,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_103642-setB_crisp_seed3_b5_mu0.35-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_103642-setB_crisp_seed3_b5_mu0.35-locomotion-hunter/model_4814.pt,0.35
6,crisp,334.95001220703125,0.335,3,0.35,,,False,3,0.35,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_105211-setB_crisp_seed3_b6_mu0.35-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_105211-setB_crisp_seed3_b6_mu0.35-locomotion-hunter/model_4908.pt,0.35
7,crisp,302.760009765625,0.3028,3,0.35,,,False,3,0.35,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_110742-setB_crisp_seed3_b7_mu0.35-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_110742-setB_crisp_seed3_b7_mu0.35-locomotion-hunter/model_5002.pt,0.35
