block,arm,mean_ep_len,mastery,prev_rung_idx,prev_mu,fuzzy_score,fuzzy_progress,advanced,next_rung_idx,next_mu,run_dir,ckpt,mu_trained
0,fuzzy,368.2200012207031,0.3682,0,0.8,0.8259,0.8259,False,0,0.8,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_112558-setB_fuzzy_seed1_b0_mu0.80-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_112558-setB_fuzzy_seed1_b0_mu0.80-locomotion-hunter/model_4344.pt,0.8
1,fuzzy,561.760009765625,0.5618,0,0.8,1.0,0.8259,True,1,0.65,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_113703-setB_fuzzy_seed1_b1_mu0.80-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_113703-setB_fuzzy_seed1_b1_mu0.80-locomotion-hunter/model_4438.pt,0.8
2,fuzzy,480.1400146484375,0.4801,1,0.65,1.0,0.8259,True,2,0.5,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_114923-setB_fuzzy_seed1_b2_mu0.65-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_114923-setB_fuzzy_seed1_b2_mu0.65-locomotion-hunter/model_4532.pt,0.65
3,fuzzy,366.0199890136719,0.366,2,0.5,0.8167,0.6427,True,3,0.35,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_120411-setB_fuzzy_seed1_b3_mu0.50-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_120411-setB_fuzzy_seed1_b3_mu0.50-locomotion-hunter/model_4626.pt,0.5
4,fuzzy,364.8299865722656,0.3648,3,0.35,0.8118,1.4545,False,3,0.35,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_121900-setB_fuzzy_seed1_b4_mu0.35-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_121900-setB_fuzzy_seed1_b4_mu0.35-locomotion-hunter/model_4720.pt,0.35
5,fuzzy,289.0400085449219,0.289,3,0.35,0.496,1.9505,False,3,0.35,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_123440-setB_fuzzy_seed1_b5_mu0.35-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_123440-setB_fuzzy_seed1_b5_mu0.35-locomotion-hunter/model_4814.pt,0.35
6,fuzzy,202.25999450683594,0.2023,3,0.35,0.1344,2.0849,False,3,0.35,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_125243-setB_fuzzy_seed1_b6_mu0.35-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_125243-setB_fuzzy_seed1_b6_mu0.35-locomotion-hunter/model_4908.pt,0.35
7,fuzzy,278.44000244140625,0.2784,3,0.35,0.4518,2.5367,False,3,0.35,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_130852-setB_fuzzy_seed1_b7_mu0.35-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_130852-setB_fuzzy_seed1_b7_mu0.35-locomotion-hunter/model_5002.pt,0.35
