mu,rep,seed,episodes,ep_len_steps,distance_m,slip_per_100m,falls_per_100m,vel_err
0.35,1,1,100,413.1,1.73,316.78,57.77,0.311
0.35,2,2,100,361.5,1.82,271.20,54.89,0.309
0.45,1,1,100,599.1,2.81,262.60,35.58,0.237
0.45,2,2,100,499.8,2.12,289.58,47.14,0.273
0.55,1,1,100,570.5,2.92,218.14,34.30,0.304
0.55,2,2,100,573.7,2.83,231.47,35.30,0.250
0.65,1,1,100,563.5,3.07,182.94,32.61,0.315
0.65,2,2,100,512.5,2.58,204.81,38.79,0.303
0.75,1,1,100,723.6,4.14,155.95,24.18,0.288
0.75,2,2,100,708.4,3.47,175.23,28.79,0.256
0.85,1,1,100,737.5,3.58,169.18,27.90,0.304
0.85,2,2,100,906.3,4.10,181.72,24.37,0.278
