mu,rep,seed,episodes,ep_len_steps,distance_m,slip_per_100m,falls_per_100m,vel_err
0.35,1,1,100,633.7,2.80,302.12,35.74,0.259
0.35,2,2,100,640.8,2.75,310.90,36.38,0.262
0.45,1,1,100,735.5,3.43,247.14,29.19,0.235
0.45,2,2,100,695.1,3.37,248.38,29.70,0.256
0.55,1,1,100,881.8,3.43,282.64,29.17,0.257
0.55,2,2,100,849.5,3.85,239.01,25.98,0.221
0.65,1,1,100,679.4,3.22,197.04,31.07,0.238
0.65,2,2,100,799.5,3.61,208.11,27.72,0.229
0.75,1,1,100,714.3,3.53,187.09,28.31,0.264
0.75,2,2,100,1124.2,4.78,205.43,20.92,0.169
0.85,1,1,100,1185.5,4.66,212.98,21.48,0.196
0.85,2,2,100,677.7,3.30,176.63,30.30,0.293
