block,arm,mean_ep_len,mastery,prev_rung_idx,prev_mu,fuzzy_score,fuzzy_progress,advanced,next_rung_idx,next_mu,run_dir,ckpt,mu_trained
0,fixed,406.92999267578125,0.4069,0,0.8,,,False,0,0.8,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_012236-setB_fixed_seed2_b0_mu0.80-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_012236-setB_fixed_seed2_b0_mu0.80-locomotion-hunter/model_4344.pt,0.8
1,fixed,502.3399963378906,0.5023,0,0.8,,,True,1,0.65,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_013940-setB_fixed_seed2_b1_mu0.80-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_013940-setB_fixed_seed2_b1_mu0.80-locomotion-hunter/model_4438.pt,0.8
2,fixed,436.7900085449219,0.4368,1,0.65,,,False,1,0.65,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_015601-setB_fixed_seed2_b2_mu0.65-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_015601-setB_fixed_seed2_b2_mu0.65-locomotion-hunter/model_4532.pt,0.65
3,fixed,397.1600036621094,0.3972,1,0.65,,,True,2,0.5,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_021004-setB_fixed_seed2_b3_mu0.65-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_021004-setB_fixed_seed2_b3_mu0.65-locomotion-hunter/model_4626.pt,0.65
4,fixed,318.489990234375,0.3185,2,0.5,,,False,2,0.5,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_022549-setB_fixed_seed2_b4_mu0.50-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_022549-setB_fixed_seed2_b4_mu0.50-locomotion-hunter/model_4720.pt,0.5
5,fixed,414.4200134277344,0.4144,2,0.5,,,True,3,0.35,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_024121-setB_fixed_seed2_b5_mu0.50-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_024121-setB_fixed_seed2_b5_mu0.50-locomotion-hunter/model_4814.pt,0.5
6,fixed,287.82000732421875,0.2878,3,0.35,,,False,3,0.35,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_025704-setB_fixed_seed2_b6_mu0.35-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_025704-setB_fixed_seed2_b6_mu0.35-locomotion-hunter/model_4908.pt,0.35
7,fixed,260.6000061035156,0.2606,3,0.35,,,False,3,0.35,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_031255-setB_fixed_seed2_b7_mu0.35-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_031255-setB_fixed_seed2_b7_mu0.35-locomotion-hunter/model_5002.pt,0.35
