block,arm,mean_ep_len,mastery,prev_rung_idx,prev_mu,fuzzy_score,fuzzy_progress,advanced,next_rung_idx,next_mu,run_dir,ckpt,mu_trained
0,fuzzy,387.489990234375,0.3875,0,0.8,0.9062,0.9062,False,0,0.8,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_152459-setB_fuzzy_seed3_b0_mu0.80-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_152459-setB_fuzzy_seed3_b0_mu0.80-locomotion-hunter/model_4344.pt,0.8
1,fuzzy,508.2699890136719,0.5083,0,0.8,1.0,0.9062,True,1,0.65,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_153652-setB_fuzzy_seed3_b1_mu0.80-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_153652-setB_fuzzy_seed3_b1_mu0.80-locomotion-hunter/model_4438.pt,0.8
2,fuzzy,579.3099975585938,0.5793,1,0.65,1.0,0.9062,True,2,0.5,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_154928-setB_fuzzy_seed3_b2_mu0.65-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_154928-setB_fuzzy_seed3_b2_mu0.65-locomotion-hunter/model_4532.pt,0.65
3,fuzzy,390.8800048828125,0.3909,2,0.5,0.9203,0.8265,True,3,0.35,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_160306-setB_fuzzy_seed3_b3_mu0.50-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_160306-setB_fuzzy_seed3_b3_mu0.50-locomotion-hunter/model_4626.pt,0.5
4,fuzzy,267.8900146484375,0.2679,3,0.35,0.4079,1.2344,False,3,0.35,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_162102-setB_fuzzy_seed3_b4_mu0.35-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_162102-setB_fuzzy_seed3_b4_mu0.35-locomotion-hunter/model_4720.pt,0.35
5,fuzzy,295.6199951171875,0.2956,3,0.35,0.5234,1.7578,False,3,0.35,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_163629-setB_fuzzy_seed3_b5_mu0.35-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_163629-setB_fuzzy_seed3_b5_mu0.35-locomotion-hunter/model_4814.pt,0.35
6,fuzzy,279.57000732421875,0.2796,3,0.35,0.4565,2.2144,False,3,0.35,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_165219-setB_fuzzy_seed3_b6_mu0.35-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_165219-setB_fuzzy_seed3_b6_mu0.35-locomotion-hunter/model_4908.pt,0.35
7,fuzzy,304.3299865722656,0.3043,3,0.35,0.5597,2.7741,False,3,0.35,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_170922-setB_fuzzy_seed3_b7_mu0.35-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_170922-setB_fuzzy_seed3_b7_mu0.35-locomotion-hunter/model_5002.pt,0.35
