mu,rep,seed,episodes,ep_len_steps,distance_m,slip_per_100m,falls_per_100m,vel_err
0.35,1,1,100,670.1,2.89,306.05,34.64,0.242
0.35,2,2,100,919.5,3.78,320.09,26.43,0.223
0.45,1,1,100,686.7,3.04,274.65,32.87,0.207
0.45,2,2,100,658.6,2.96,267.20,33.81,0.263
0.55,1,1,100,955.1,4.45,217.77,22.48,0.214
0.55,2,2,100,968.5,4.89,215.47,20.45,0.218
0.65,1,1,100,825.8,4.52,176.82,22.12,0.211
0.65,2,2,100,784.8,3.63,215.52,27.54,0.201
0.75,1,1,100,829.6,4.10,164.79,24.40,0.222
0.75,2,2,100,784.2,4.57,156.26,21.87,0.247
0.85,1,1,100,868.5,4.44,147.06,22.50,0.213
0.85,2,2,100,924.0,4.74,157.81,21.11,0.213
