mu,rep,seed,episodes,ep_len_steps,distance_m,slip_per_100m,falls_per_100m,vel_err
0.35,1,1,100,563.6,2.41,319.32,41.51,0.285
0.35,2,2,100,520.3,2.39,297.83,41.90,0.296
0.45,1,1,100,958.5,3.92,300.96,25.51,0.200
0.45,2,2,100,623.6,2.53,312.33,39.52,0.256
0.55,1,1,100,712.2,3.02,264.72,33.11,0.253
0.55,2,2,100,781.5,3.43,253.78,29.15,0.251
0.65,1,1,100,772.8,3.30,229.81,30.34,0.296
0.65,2,2,100,562.5,2.74,218.84,36.47,0.285
0.75,1,1,100,855.7,3.65,207.34,27.36,0.277
0.75,2,2,100,589.9,2.75,195.37,36.31,0.318
0.85,1,1,100,736.6,3.45,176.46,29.01,0.325
0.85,2,2,100,577.8,2.81,163.68,35.56,0.338
