block,arm,mean_ep_len,mastery,prev_rung_idx,prev_mu,fuzzy_score,fuzzy_progress,advanced,next_rung_idx,next_mu,run_dir,ckpt,mu_trained
0,fuzzy,406.92999267578125,0.4069,0,0.8,0.9872,0.9872,False,0,0.8,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_132622-setB_fuzzy_seed2_b0_mu0.80-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_132622-setB_fuzzy_seed2_b0_mu0.80-locomotion-hunter/model_4344.pt,0.8
1,fuzzy,502.3399963378906,0.5023,0,0.8,1.0,0.9872,True,1,0.65,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_133726-setB_fuzzy_seed2_b1_mu0.80-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_133726-setB_fuzzy_seed2_b1_mu0.80-locomotion-hunter/model_4438.pt,0.8
2,fuzzy,436.7900085449219,0.4368,1,0.65,1.0,0.9872,True,2,0.5,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_134944-setB_fuzzy_seed2_b2_mu0.65-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_134944-setB_fuzzy_seed2_b2_mu0.65-locomotion-hunter/model_4532.pt,0.65
3,fuzzy,281.55999755859375,0.2816,2,0.5,0.4648,0.452,True,3,0.35,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_140308-setB_fuzzy_seed2_b3_mu0.50-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_140308-setB_fuzzy_seed2_b3_mu0.50-locomotion-hunter/model_4626.pt,0.5
4,fuzzy,327.739990234375,0.3277,3,0.35,0.6572,1.1093,False,3,0.35,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_141745-setB_fuzzy_seed2_b4_mu0.35-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_141745-setB_fuzzy_seed2_b4_mu0.35-locomotion-hunter/model_4720.pt,0.35
5,fuzzy,279.57000732421875,0.2796,3,0.35,0.4565,1.5658,False,3,0.35,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_143320-setB_fuzzy_seed2_b5_mu0.35-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_143320-setB_fuzzy_seed2_b5_mu0.35-locomotion-hunter/model_4814.pt,0.35
6,fuzzy,280.5899963378906,0.2806,3,0.35,0.4608,2.0266,False,3,0.35,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_145103-setB_fuzzy_seed2_b6_mu0.35-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_145103-setB_fuzzy_seed2_b6_mu0.35-locomotion-hunter/model_4908.pt,0.35
7,fuzzy,312.3699951171875,0.3124,3,0.35,0.5932,2.6198,False,3,0.35,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_150720-setB_fuzzy_seed2_b7_mu0.35-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_150720-setB_fuzzy_seed2_b7_mu0.35-locomotion-hunter/model_5002.pt,0.35
