block,arm,mean_ep_len,mastery,prev_rung_idx,prev_mu,fuzzy_score,fuzzy_progress,advanced,next_rung_idx,next_mu,run_dir,ckpt,mu_trained
0,fixed,368.2200012207031,0.3682,0,0.8,,,False,0,0.8,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260530_230238-setB_fixed_seed1_b0_mu0.80-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260530_230238-setB_fixed_seed1_b0_mu0.80-locomotion-hunter/model_4344.pt,0.8
1,fixed,561.760009765625,0.5618,0,0.8,,,True,1,0.65,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260530_231351-setB_fixed_seed1_b1_mu0.80-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260530_231351-setB_fixed_seed1_b1_mu0.80-locomotion-hunter/model_4438.pt,0.8
2,fixed,480.1400146484375,0.4801,1,0.65,,,False,1,0.65,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260530_234004-setB_fixed_seed1_b2_mu0.65-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260530_234004-setB_fixed_seed1_b2_mu0.65-locomotion-hunter/model_4532.pt,0.65
3,fixed,450.1400146484375,0.4501,1,0.65,,,True,2,0.5,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260530_235749-setB_fixed_seed1_b3_mu0.65-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260530_235749-setB_fixed_seed1_b3_mu0.65-locomotion-hunter/model_4626.pt,0.65
4,fixed,274.260009765625,0.2743,2,0.5,,,False,2,0.5,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_001257-setB_fixed_seed1_b4_mu0.50-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_001257-setB_fixed_seed1_b4_mu0.50-locomotion-hunter/model_4720.pt,0.5
5,fixed,315.79998779296875,0.3158,2,0.5,,,True,3,0.35,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_002911-setB_fixed_seed1_b5_mu0.50-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_002911-setB_fixed_seed1_b5_mu0.50-locomotion-hunter/model_4814.pt,0.5
6,fixed,270.20001220703125,0.2702,3,0.35,,,False,3,0.35,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_004624-setB_fixed_seed1_b6_mu0.35-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_004624-setB_fixed_seed1_b6_mu0.35-locomotion-hunter/model_4908.pt,0.35
7,fixed,320.5400085449219,0.3205,3,0.35,,,False,3,0.35,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_010301-setB_fixed_seed1_b7_mu0.35-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_010301-setB_fixed_seed1_b7_mu0.35-locomotion-hunter/model_5002.pt,0.35
