block,arm,mean_ep_len,mastery,prev_rung_idx,prev_mu,fuzzy_score,fuzzy_progress,advanced,next_rung_idx,next_mu,run_dir,ckpt,mu_trained
0,crisp,368.2200012207031,0.3682,0,0.8,,,True,1,0.65,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_052809-setB_crisp_seed1_b0_mu0.80-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_052809-setB_crisp_seed1_b0_mu0.80-locomotion-hunter/model_4344.pt,0.8
1,crisp,511.010009765625,0.511,1,0.65,,,True,2,0.5,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_053937-setB_crisp_seed1_b1_mu0.65-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_053937-setB_crisp_seed1_b1_mu0.65-locomotion-hunter/model_4438.pt,0.65
2,crisp,456.6499938964844,0.4566,2,0.5,,,True,3,0.35,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_055203-setB_crisp_seed1_b2_mu0.50-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_055203-setB_crisp_seed1_b2_mu0.50-locomotion-hunter/model_4532.pt,0.5
3,crisp,225.85000610351562,0.2259,3,0.35,,,False,3,0.35,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_060536-setB_crisp_seed1_b3_mu0.35-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_060536-setB_crisp_seed1_b3_mu0.35-locomotion-hunter/model_4626.pt,0.35
4,crisp,267.6499938964844,0.2676,3,0.35,,,False,3,0.35,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_062010-setB_crisp_seed1_b4_mu0.35-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_062010-setB_crisp_seed1_b4_mu0.35-locomotion-hunter/model_4720.pt,0.35
5,crisp,268.8800048828125,0.2689,3,0.35,,,False,3,0.35,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_063830-setB_crisp_seed1_b5_mu0.35-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_063830-setB_crisp_seed1_b5_mu0.35-locomotion-hunter/model_4814.pt,0.35
6,crisp,254.6699981689453,0.2547,3,0.35,,,False,3,0.35,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_065404-setB_crisp_seed1_b6_mu0.35-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_065404-setB_crisp_seed1_b6_mu0.35-locomotion-hunter/model_4908.pt,0.35
7,crisp,372.8999938964844,0.3729,3,0.35,,,False,3,0.35,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_070957-setB_crisp_seed1_b7_mu0.35-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_070957-setB_crisp_seed1_b7_mu0.35-locomotion-hunter/model_5002.pt,0.35
