block,arm,mean_ep_len,mastery,prev_rung_idx,prev_mu,fuzzy_score,fuzzy_progress,advanced,next_rung_idx,next_mu,run_dir,ckpt,mu_trained
0,crisp,406.92999267578125,0.4069,0,0.8,,,True,1,0.65,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_072751-setB_crisp_seed2_b0_mu0.80-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_072751-setB_crisp_seed2_b0_mu0.80-locomotion-hunter/model_4344.pt,0.8
1,crisp,525.719970703125,0.5257,1,0.65,,,True,2,0.5,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_074019-setB_crisp_seed2_b1_mu0.65-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_074019-setB_crisp_seed2_b1_mu0.65-locomotion-hunter/model_4438.pt,0.65
2,crisp,399.6199951171875,0.3996,2,0.5,,,True,3,0.35,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_075228-setB_crisp_seed2_b2_mu0.50-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_075228-setB_crisp_seed2_b2_mu0.50-locomotion-hunter/model_4532.pt,0.5
3,crisp,270.010009765625,0.27,3,0.35,,,False,3,0.35,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_080555-setB_crisp_seed2_b3_mu0.35-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_080555-setB_crisp_seed2_b3_mu0.35-locomotion-hunter/model_4626.pt,0.35
4,crisp,303.8800048828125,0.3039,3,0.35,,,False,3,0.35,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_082122-setB_crisp_seed2_b4_mu0.35-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_082122-setB_crisp_seed2_b4_mu0.35-locomotion-hunter/model_4720.pt,0.35
5,crisp,325.17999267578125,0.3252,3,0.35,,,False,3,0.35,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_083811-setB_crisp_seed2_b5_mu0.35-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_083811-setB_crisp_seed2_b5_mu0.35-locomotion-hunter/model_4814.pt,0.35
6,crisp,259.8399963378906,0.2598,3,0.35,,,False,3,0.35,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_085415-setB_crisp_seed2_b6_mu0.35-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_085415-setB_crisp_seed2_b6_mu0.35-locomotion-hunter/model_4908.pt,0.35
7,crisp,269.4800109863281,0.2695,3,0.35,,,False,3,0.35,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_091035-setB_crisp_seed2_b7_mu0.35-locomotion-hunter,/srv/data/users/anhar/codes/HumanoidVerse/logs/FuzzySoilFurrowsSetB/20260531_091035-setB_crisp_seed2_b7_mu0.35-locomotion-hunter/model_5002.pt,0.35
