mu,rep,seed,episodes,ep_len_steps,distance_m,slip_per_100m,falls_per_100m,vel_err
0.35,1,1,100,655.8,2.55,338.02,39.26,0.254
0.35,2,2,100,538.0,2.23,339.57,44.81,0.289
0.45,1,1,100,845.5,3.55,288.46,28.18,0.203
0.45,2,2,100,716.0,3.17,272.33,31.53,0.243
0.55,1,1,100,861.7,3.73,241.76,26.81,0.218
0.55,2,2,100,1010.8,4.46,245.20,22.42,0.201
0.65,1,1,100,718.5,3.70,191.02,27.03,0.245
0.65,2,2,100,810.4,4.15,195.52,24.11,0.226
0.75,1,1,100,604.8,3.36,162.68,29.78,0.235
0.75,2,2,100,597.7,3.68,150.25,27.20,0.241
0.85,1,1,100,538.7,3.38,128.85,29.58,0.278
0.85,2,2,100,706.1,4.04,149.19,24.74,0.261
