mu,rep,seed,episodes,ep_len_steps,distance_m,slip_per_100m,falls_per_100m,vel_err
0.35,1,1,100,814.7,3.20,337.67,31.29,0.269
0.35,2,2,100,384.3,1.82,286.24,54.94,0.363
0.45,1,1,100,686.1,2.82,299.99,35.46,0.217
0.45,2,2,100,610.3,2.60,278.30,38.42,0.263
0.55,1,1,100,689.9,3.20,252.54,31.26,0.252
0.55,2,2,100,491.5,2.29,249.26,43.67,0.303
0.65,1,1,100,477.2,2.12,245.31,47.06,0.320
0.65,2,2,100,604.2,3.01,190.52,33.27,0.259
0.75,1,1,100,560.9,3.05,157.90,32.78,0.279
0.75,2,2,100,544.0,2.88,167.62,34.68,0.244
0.85,1,1,100,755.6,3.74,158.61,26.72,0.249
0.85,2,2,100,659.2,3.34,163.70,29.93,0.267
