mu,K,kc,k_phi,seed,force_coupling,ep_len_steps,distance_m,falls_per_100m,slip_per_100m,vel_err,dfh_mean_sink_m,dfh_max_sink_m,dfh_mean_sink_drag_n,dfh_mean_aniso_drag_n,dfh_mean_applied_drag_n,dfh_total_drag_per_robot_n,dfh_applied_drag_pct_weight,dfh_drag_clipped_frac,dfh_mean_normal_force_n,dfh_stance_fraction,dfh_force_coupling_on,dfh_attached
0.56,1.0,1400.0,820000.0,1,False,849.8,0.74,21.56,1223.39,0.24,0.049622,0.0499,26.619624,7.342619,0.0,0.0,0.0,0.000285,66.751073,0.0,0.0,1.0
0.56,1.0,1400.0,820000.0,2,False,889.9,0.69,17.28,1352.32,0.224,0.049623,0.0499,26.64648,7.34954,0.0,0.0,0.0,0.00029,66.813989,0.0,0.0,1.0
0.56,1.0,1400.0,820000.0,3,False,752.9,0.8,35.05,1002.22,0.284,0.049623,0.0499,26.653706,7.351614,0.0,0.0,0.0,0.000323,66.832844,0.0,0.0,1.0
0.56,8.0,11200.0,6560000.0,1,False,925.3,0.68,11.75,1435.44,0.235,0.015137,0.041032,8.299261,7.31705,0.0,0.0,0.0,0.000214,66.51863,0.0,0.0,1.0
0.56,8.0,11200.0,6560000.0,2,False,850.2,0.81,19.81,1112.65,0.257,0.015173,0.040461,8.348713,7.335497,0.0,0.0,0.0,0.000186,66.686325,0.0,0.0,1.0
0.56,8.0,11200.0,6560000.0,3,False,885.4,0.82,16.99,1137.21,0.228,0.015102,0.035294,8.326826,7.334703,0.0,0.0,0.0,0.000161,66.679107,0.0,0.0,1.0
