mu,K,kc,k_phi,seed,force_coupling,ep_len_steps,distance_m,falls_per_100m,slip_per_100m,vel_err,dfh_mean_sink_m,dfh_max_sink_m,dfh_mean_sink_drag_n,dfh_mean_aniso_drag_n,dfh_mean_applied_drag_n,dfh_total_drag_per_robot_n,dfh_applied_drag_pct_weight,dfh_drag_clipped_frac,dfh_mean_normal_force_n,dfh_stance_fraction,dfh_force_coupling_on,dfh_attached
0.5,1.0,1400.0,820000.0,1,True,922.4,0.78,12.82,1033.93,0.35,0.049835,0.0499,33.602746,9.075288,42.304916,57.048311,0.093796,0.004245,84.035621,0.319835,1.0,1.0
0.5,2.0,2800.0,1640000.0,1,True,826.9,0.85,23.6,821.01,0.398,0.049781,0.0499,32.43184,9.209686,41.210622,53.051918,0.087225,0.004219,81.132266,0.303758,1.0,1.0
0.5,4.0,5600.0,3280000.0,1,True,843.6,0.85,25.96,874.63,0.362,0.049832,0.0499,33.930865,9.334239,42.932751,57.77703,0.094994,0.00406,84.855888,0.326989,1.0,1.0
0.5,8.0,11200.0,6560000.0,1,True,821.9,0.79,27.72,834.2,0.427,0.049734,0.049857,31.145123,8.707246,39.45269,50.65688,0.083287,0.003708,77.920436,0.284289,1.0,1.0
0.5,16.0,22400.0,13120000.0,1,True,831.6,0.76,26.3,936.91,0.397,0.049827,0.0499,34.177023,9.186422,42.909952,55.082326,0.090563,0.004518,85.476564,0.333002,1.0,1.0
0.56,1.0,1400.0,820000.0,1,True,813.7,0.83,28.9,806.29,0.416,0.049797,0.04985,35.046541,9.921927,44.50799,59.338973,0.097562,0.005084,87.637622,0.343318,1.0,1.0
0.56,2.0,2800.0,1640000.0,1,True,905.3,0.91,17.67,792.64,0.358,0.049828,0.0499,33.901017,9.089896,42.614069,53.791218,0.08844,0.004629,84.778873,0.33246,1.0,1.0
0.56,4.0,5600.0,3280000.0,1,True,829.1,0.85,23.59,817.56,0.414,0.049826,0.0499,33.072929,8.771015,41.41379,54.816424,0.090126,0.00486,82.714473,0.308555,1.0,1.0
0.56,8.0,11200.0,6560000.0,1,True,839.2,0.85,21.14,799.6,0.395,0.049774,0.04985,32.825119,8.97781,41.426129,53.40708,0.087809,0.004108,82.095628,0.313039,1.0,1.0
0.56,16.0,22400.0,13120000.0,1,True,863.8,0.8,22.56,894.37,0.368,0.049822,0.0499,32.70689,8.31016,40.60829,54.168902,0.089061,0.00382,81.807483,0.306894,1.0,1.0
0.62,1.0,1400.0,820000.0,1,True,753.1,0.82,31.74,783.76,0.44,0.049771,0.04985,34.203178,9.293389,42.984205,57.216186,0.094072,0.005357,85.545475,0.329308,1.0,1.0
0.62,2.0,2800.0,1640000.0,1,True,855.3,0.95,21.12,715.96,0.382,0.049736,0.04985,33.972358,9.232693,42.710718,55.585934,0.091391,0.00484,84.979088,0.329848,1.0,1.0
0.62,4.0,5600.0,3280000.0,1,True,817.4,0.81,24.66,861.03,0.413,0.049781,0.04985,32.525234,8.809816,40.950294,54.553527,0.089694,0.003856,81.340499,0.304401,1.0,1.0
0.62,8.0,11200.0,6560000.0,1,True,937.3,0.91,8.79,799.91,0.344,0.049809,0.0499,31.261121,8.235868,39.118772,50.214415,0.08256,0.004069,78.191515,0.285302,1.0,1.0
0.62,16.0,22400.0,13120000.0,1,True,884.7,0.8,17.54,979.67,0.374,0.049785,0.04985,32.804911,9.570898,42.050018,58.937512,0.096902,0.003582,82.042422,0.301321,1.0,1.0
